Lat,Long,City,Country,Temperature (F),Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
52.14606234796551,14.819761511092508,eisenhuttenstadt,de,,,,,
-22.97,-42.03,arraial do cabo,br,71.6,71.6,88,92,10.29
-15.82,-50.61,itapirapua,br,69.31,69.31,74,14,3.18
38.32,26.76,urla,tr,56.91,59,87,25,4.7
-6.1,-39.45,acopiara,br,71.83,71.83,93,52,2.08
17.05032610949381,32.587596525296306,umm durman,sd,,,,,
42.6,-73.97,albany,au,40.46,42.01,57,100,1.01
43.24469875445217,-59.52215111590424,louisbourg,ca,,,,,
69.49,88.4,talnakh,ru,33.8,33.8,69,0,6.71
-24.87,113.63,carnarvon,au,75.7,75.7,30,67,14.09
56.67,124.65,neryungri,ru,37.94,37.94,72,100,10.67
-28.78,32.04,richards bay,za,65.59,65.59,90,39,6.69
43.77,11.25,florence,us,57.76,60.01,93,40,3.36
5.41,100.34,georgetown,sh,81.54,84.2,88,20,2.24
-34.42,19.23,hermanus,za,59.99,59.99,71,91,10.4
59.7,30.79,nikolskoye,ru,32.45,33.8,86,100,6.71
62.46,-114.35,yellowknife,ca,34.39,35.01,59,20,20.8
-0.6,73.08,hithadhoo,mv,84.06,84.06,76,100,9.86
3.07,172.79,butaritari,ki,83.79,83.79,78,0,20.18
47.67,-52.73,torbay,ca,43.79,44.6,100,90,21.92
-33.59,26.89,port alfred,za,62.01,62.01,94,84,1.99
42.1,-79.24,jamestown,sh,40.91,44.01,60,1,5.82
-33.93,18.42,cape town,za,56.55,60.01,82,75,2.24
71.92,114.08,saskylakh,ru,26.67,26.67,97,100,11.18
22.89,-109.91,cabo san lucas,mx,79.7,80.6,36,5,11.41
-33.02,27.91,east london,za,66.51,66.51,74,100,22.62
19.73,-155.09,hilo,us,77.47,84.2,54,75,12.75
-17.73,-149.15,tautira,pf,87.8,87.8,62,100,10.29
65.61,-37.64,tasiilaq,gl,32,32,94,0,11.41
22.68,-3.98,taoudenni,ml,88.97,88.97,14,0,12.08
67.68,53.15,iskateley,ru,35.55,35.55,95,36,8.93
28.18,68.04,usta muhammad,pk,83.79,83.79,51,0,2.8
-21.2,-175.2,vaini,to,80.6,80.6,74,75,8.05
63.83,20.26,umea,se,24.8,24.8,92,0,3.36
-12.12,-73.0,pangoa,pe,70.45,70.45,94,75,1.99
18.22,42.51,abha,sa,67.82,69.8,55,0,2.64
53.6,91.39,belyy yar,ru,60.8,60.8,63,0,4.27
-33.92,25.57,port elizabeth,za,60.8,60.8,93,75,9.17
35.04,46.36,paveh,ir,46.96,46.96,51,0,3.36
11.05,14.14,mora,cm,83.71,83.71,49,0,4.97
-26.82,-65.22,tucuman,ar,53.6,53.6,76,0,8.05
45.52,-122.68,portland,au,57.51,60.01,76,99,12.75
-3.48,23.43,lodja,cd,69.93,69.93,97,88,1.39
-9.8,-139.03,atuona,pf,80.56,80.56,73,18,18.84
72.79,-56.15,upernavik,gl,36.28,36.28,81,96,10.92
76.57621247078035,56.80837736035079,belushya guba,ru,,,,,
34.69,135.8,nara,ml,72.66,73.4,49,20,16.11
62.14,117.63,suntar,ru,39.87,39.87,63,94,7.11
-10.62,150.67,samarai,pg,80.78,80.78,72,42,6.26
44.25,-116.97,weiser,us,62.08,64.4,34,75,25.28
